,utt,날씨 묻기,관광지 추천,숙소 추천,맛집 추천,인사,소개,기타
0,제주도 날씨 어때?,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,제주도 현재 날씨 알려줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,제주도 관광지 추천 좀 해줄래?,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,제주 관광지 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,제주 맛집 추천,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,제주 맛집 좀 추천해주라,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,숙소 추천해줄래?,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,숙소는 어디가 좋아?,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,안녕?,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,너 뭐 할줄 알아?,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,기능 알려줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,맛집 추천 좀 해주라,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,야이 바보 멍청아,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,나는 배가 고프다,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,세상에 이런일이..,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,제주도는 날씨가 어떻게 돼?,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,상상하기도 싫어 싫어,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,내가 만약 외로울때면,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,제주도에는 어떤 관광지가 있어?,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,제주도 맛집 좀 골라주라,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,안녕 너 이름은 뭐야?,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,넌 할 줄 아는게 뭐야?,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,너 할 수 있는거 뭐 있냐?,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,내 이름이 뭐게?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,넌 쓸모없어,0.0,0.0,0.0,0.0,0.0,0.0,1.0
